method,layer_idx,proj,task,overlap
olora_safety,0,v_proj,sst2,0.024413270875811577
olora_safety,0,v_proj,mbpp,0.0178944393992424
olora_safety,1,q_proj,gsm8k,0.011870058253407478
olora_safety,1,q_proj,sst2,0.0349016934633255
olora_safety,1,q_proj,mbpp,0.01358345802873373
olora_safety,1,v_proj,gsm8k,0.019446788355708122
olora_safety,1,v_proj,sst2,0.024702517315745354
olora_safety,1,v_proj,mbpp,0.01984112523496151
olora_safety,2,q_proj,gsm8k,0.009905772283673286
olora_safety,2,q_proj,sst2,0.03399386256933212
olora_safety,2,q_proj,mbpp,0.011687761172652245
olora_safety,2,v_proj,gsm8k,0.018333565443754196
olora_safety,2,v_proj,sst2,0.030235059559345245
olora_safety,2,v_proj,mbpp,0.019636644050478935
olora_safety,3,q_proj,gsm8k,0.00964315328747034
olora_safety,3,q_proj,sst2,0.04427728429436684
olora_safety,3,q_proj,mbpp,0.012640591710805893
olora_safety,3,v_proj,gsm8k,0.022707290947437286
olora_safety,3,v_proj,sst2,0.03407558798789978
olora_safety,3,v_proj,mbpp,0.02334633842110634
olora_safety,4,q_proj,gsm8k,0.010400434024631977
olora_safety,4,q_proj,sst2,0.05144772678613663
olora_safety,4,q_proj,mbpp,0.0134495310485363
olora_safety,4,v_proj,gsm8k,0.022217540070414543
olora_safety,4,v_proj,sst2,0.026974817737936974
olora_safety,4,v_proj,mbpp,0.02299369126558304
olora_safety,5,q_proj,gsm8k,0.012227113358676434
olora_safety,5,q_proj,sst2,0.029977593570947647
olora_safety,5,q_proj,mbpp,0.013824067078530788
olora_safety,5,v_proj,gsm8k,0.02190951257944107
olora_safety,5,v_proj,sst2,0.03611656650900841
olora_safety,5,v_proj,mbpp,0.022695431485772133
olora_safety,6,q_proj,gsm8k,0.0100625641644001
olora_safety,6,q_proj,sst2,0.02704405039548874
olora_safety,6,q_proj,mbpp,0.011377165094017982
olora_safety,6,v_proj,gsm8k,0.026185456663370132
olora_safety,6,v_proj,sst2,0.029529346153140068
olora_safety,6,v_proj,mbpp,0.027318917214870453
olora_safety,7,q_proj,gsm8k,0.010321386158466339
olora_safety,7,q_proj,sst2,0.03979871794581413
olora_safety,7,q_proj,mbpp,0.012352008372545242
olora_safety,7,v_proj,gsm8k,0.020153282210230827
olora_safety,7,v_proj,sst2,0.02789459191262722
olora_safety,7,v_proj,mbpp,0.020196350291371346
olora_safety,8,q_proj,gsm8k,0.009875047020614147
olora_safety,8,q_proj,sst2,0.03752222657203674
olora_safety,8,q_proj,mbpp,0.011589797213673592
olora_safety,8,v_proj,gsm8k,0.02453741990029812
olora_safety,8,v_proj,sst2,0.031915947794914246
olora_safety,8,v_proj,mbpp,0.025069722905755043
olora_safety,9,q_proj,gsm8k,0.0113038569688797
olora_safety,9,q_proj,sst2,0.03819574415683746
olora_safety,9,q_proj,mbpp,0.014222866855561733
olora_safety,9,v_proj,gsm8k,0.025940390303730965
olora_safety,9,v_proj,sst2,0.030674288049340248
olora_safety,9,v_proj,mbpp,0.026013385504484177
olora_safety,10,q_proj,gsm8k,0.008361032232642174
olora_safety,10,q_proj,sst2,0.04511209949851036
olora_safety,10,q_proj,mbpp,0.010631101205945015
olora_safety,10,v_proj,gsm8k,0.022571804001927376
olora_safety,10,v_proj,sst2,0.02911793440580368
olora_safety,10,v_proj,mbpp,0.023050101473927498
olora_safety,11,q_proj,gsm8k,0.008808139711618423
olora_safety,11,q_proj,sst2,0.02981722727417946
olora_safety,11,q_proj,mbpp,0.009895036928355694
olora_safety,11,v_proj,gsm8k,0.020621303468942642
olora_safety,11,v_proj,sst2,0.030911246314644814
olora_safety,11,v_proj,mbpp,0.02042909897863865
olora_safety,12,q_proj,gsm8k,0.010330668650567532
olora_safety,12,q_proj,sst2,0.039721086621284485
olora_safety,12,q_proj,mbpp,0.013186016120016575
olora_safety,12,v_proj,gsm8k,0.018091214820742607
olora_safety,12,v_proj,sst2,0.022680416703224182
olora_safety,12,v_proj,mbpp,0.01902533322572708
olora_safety,13,q_proj,gsm8k,0.007478829938918352
olora_safety,13,q_proj,sst2,0.03955284133553505
olora_safety,13,q_proj,mbpp,0.008588002994656563
olora_safety,13,v_proj,gsm8k,0.017240852117538452
olora_safety,13,v_proj,sst2,0.02011922001838684
olora_safety,13,v_proj,mbpp,0.01712106540799141
olora_safety,14,q_proj,gsm8k,0.009675377048552036
olora_safety,14,q_proj,sst2,0.03300115838646889
olora_safety,14,q_proj,mbpp,0.01133003830909729
olora_safety,14,v_proj,gsm8k,0.017467698082327843
olora_safety,14,v_proj,sst2,0.028100596740841866
olora_safety,14,v_proj,mbpp,0.01791355386376381
olora_safety,15,q_proj,gsm8k,0.011650489643216133
olora_safety,15,q_proj,sst2,0.03349988907575607
olora_safety,15,q_proj,mbpp,0.014008626341819763
olora_safety,15,v_proj,gsm8k,0.017860405147075653
olora_safety,15,v_proj,sst2,0.027530612424016
olora_safety,15,v_proj,mbpp,0.017692189663648605
olora_safety,16,q_proj,gsm8k,0.008986562490463257
olora_safety,16,q_proj,sst2,0.035674549639225006
olora_safety,16,q_proj,mbpp,0.010496229864656925
olora_safety,16,v_proj,gsm8k,0.018227506428956985
olora_safety,16,v_proj,sst2,0.026447109878063202
olora_safety,16,v_proj,mbpp,0.018357062712311745
olora_safety,17,q_proj,gsm8k,0.010188248008489609
olora_safety,17,q_proj,sst2,0.028257064521312714
olora_safety,17,q_proj,mbpp,0.01165526732802391
olora_safety,17,v_proj,gsm8k,0.020457034930586815
olora_safety,17,v_proj,sst2,0.02783253602683544
olora_safety,17,v_proj,mbpp,0.02143613062798977
olora_safety,18,q_proj,gsm8k,0.010337179526686668
olora_safety,18,q_proj,sst2,0.03716319054365158
olora_safety,18,q_proj,mbpp,0.01263961847871542
olora_safety,18,v_proj,gsm8k,0.024804996326565742
olora_safety,18,v_proj,sst2,0.03715101256966591
olora_safety,18,v_proj,mbpp,0.026070499792695045
olora_safety,19,q_proj,gsm8k,0.011297143995761871
olora_safety,19,q_proj,sst2,0.030495118349790573
olora_safety,19,q_proj,mbpp,0.014075753279030323
olora_safety,19,v_proj,gsm8k,0.017665648832917213
olora_safety,19,v_proj,sst2,0.023427126929163933
olora_safety,19,v_proj,mbpp,0.018382316455245018
olora_safety,20,q_proj,gsm8k,0.01163139846175909
olora_safety,20,q_proj,sst2,0.03120645508170128
olora_safety,20,q_proj,mbpp,0.013281868770718575
