method,layer_idx,proj,task,overlap
olora_standard,16,q_proj,sst2,0.04242761433124542
olora_standard,16,q_proj,mbpp,0.006722318008542061
olora_standard,16,q_proj,xsum,0.004401251673698425
olora_standard,16,q_proj,sciq,0.012530770152807236
olora_standard,16,v_proj,gsm8k,0.011081701144576073
olora_standard,16,v_proj,sst2,0.032503802329301834
olora_standard,16,v_proj,mbpp,0.010928664356470108
olora_standard,16,v_proj,xsum,0.006482464261353016
olora_standard,16,v_proj,sciq,0.017526978626847267
olora_standard,17,q_proj,gsm8k,0.004587311297655106
olora_standard,17,q_proj,sst2,0.03541876748204231
olora_standard,17,q_proj,mbpp,0.006355391349643469
olora_standard,17,q_proj,xsum,0.004664232023060322
olora_standard,17,q_proj,sciq,0.011156676337122917
olora_standard,17,v_proj,gsm8k,0.008879833854734898
olora_standard,17,v_proj,sst2,0.03299706056714058
olora_standard,17,v_proj,mbpp,0.009830034337937832
olora_standard,17,v_proj,xsum,0.007290723267942667
olora_standard,17,v_proj,sciq,0.016030337661504745
olora_standard,18,q_proj,gsm8k,0.0034926070366054773
olora_standard,18,q_proj,sst2,0.026591476052999496
olora_standard,18,q_proj,mbpp,0.004687865264713764
olora_standard,18,q_proj,xsum,0.0040615638718008995
olora_standard,18,q_proj,sciq,0.006960625760257244
olora_standard,18,v_proj,gsm8k,0.008598958142101765
olora_standard,18,v_proj,sst2,0.02747918851673603
olora_standard,18,v_proj,mbpp,0.00929882563650608
olora_standard,18,v_proj,xsum,0.00640939362347126
olora_standard,18,v_proj,sciq,0.014465988613665104
olora_standard,19,q_proj,gsm8k,0.004253975581377745
olora_standard,19,q_proj,sst2,0.03489810600876808
olora_standard,19,q_proj,mbpp,0.0059108249843120575
olora_standard,19,q_proj,xsum,0.004770383238792419
olora_standard,19,q_proj,sciq,0.010064909234642982
olora_standard,19,v_proj,gsm8k,0.004624345805495977
olora_standard,19,v_proj,sst2,0.029706912115216255
olora_standard,19,v_proj,mbpp,0.005171370692551136
olora_standard,19,v_proj,xsum,0.0037502008490264416
olora_standard,19,v_proj,sciq,0.010812352411448956
olora_standard,20,q_proj,gsm8k,0.006419837474822998
olora_standard,20,q_proj,sst2,0.06882662326097488
olora_standard,20,q_proj,mbpp,0.012768605723977089
olora_standard,20,q_proj,xsum,0.009854109957814217
olora_standard,20,q_proj,sciq,0.020175281912088394
olora_standard,20,v_proj,gsm8k,0.006190028041601181
olora_standard,20,v_proj,sst2,0.035124968737363815
olora_standard,20,v_proj,mbpp,0.006959727965295315
olora_standard,20,v_proj,xsum,0.004424704238772392
olora_standard,20,v_proj,sciq,0.01445766631513834
olora_standard,21,q_proj,gsm8k,0.0021396230440586805
olora_standard,21,q_proj,sst2,0.03886942192912102
olora_standard,21,q_proj,mbpp,0.00464031333103776
olora_standard,21,q_proj,xsum,0.0031261052936315536
olora_standard,21,q_proj,sciq,0.009271250106394291
olora_standard,21,v_proj,gsm8k,0.004164226818829775
olora_standard,21,v_proj,sst2,0.025459516793489456
olora_standard,21,v_proj,mbpp,0.005349345505237579
olora_standard,21,v_proj,xsum,0.004938554018735886
olora_standard,21,v_proj,sciq,0.010702403262257576
olora_standard,22,q_proj,gsm8k,0.0029772301204502583
olora_standard,22,q_proj,sst2,0.03482956066727638
olora_standard,22,q_proj,mbpp,0.00550086097791791
olora_standard,22,q_proj,xsum,0.0029378123581409454
olora_standard,22,q_proj,sciq,0.009501207619905472
olora_standard,22,v_proj,gsm8k,0.004051466938108206
olora_standard,22,v_proj,sst2,0.03863386809825897
olora_standard,22,v_proj,mbpp,0.005884528160095215
olora_standard,22,v_proj,xsum,0.0030491375364363194
olora_standard,22,v_proj,sciq,0.011194589547812939
olora_standard,23,q_proj,gsm8k,0.003622874151915312
olora_standard,23,q_proj,sst2,0.03991962596774101
olora_standard,23,q_proj,mbpp,0.006243104115128517
olora_standard,23,q_proj,xsum,0.003813823452219367
olora_standard,23,q_proj,sciq,0.010470947250723839
olora_standard,23,v_proj,gsm8k,0.005573241505771875
olora_standard,23,v_proj,sst2,0.03031349927186966
olora_standard,23,v_proj,mbpp,0.006743465084582567
olora_standard,23,v_proj,xsum,0.004799302667379379
olora_standard,23,v_proj,sciq,0.010933438315987587
olora_standard,24,q_proj,gsm8k,0.004263581708073616
olora_standard,24,q_proj,sst2,0.053651705384254456
olora_standard,24,q_proj,mbpp,0.008155135437846184
olora_standard,24,q_proj,xsum,0.006764568854123354
olora_standard,24,q_proj,sciq,0.01452717836946249
olora_standard,24,v_proj,gsm8k,0.006386817432940006
olora_standard,24,v_proj,sst2,0.04240325838327408
olora_standard,24,v_proj,mbpp,0.008327128365635872
olora_standard,24,v_proj,xsum,0.0068858107551932335
olora_standard,24,v_proj,sciq,0.015501657500863075
olora_standard,25,q_proj,gsm8k,0.0035156370140612125
olora_standard,25,q_proj,sst2,0.039698198437690735
olora_standard,25,q_proj,mbpp,0.005754982586950064
olora_standard,25,q_proj,xsum,0.004149449523538351
olora_standard,25,q_proj,sciq,0.010078998282551765
olora_standard,25,v_proj,gsm8k,0.004558481741696596
olora_standard,25,v_proj,sst2,0.03831392526626587
olora_standard,25,v_proj,mbpp,0.005699644330888987
olora_standard,25,v_proj,xsum,0.0046228463761508465
olora_standard,25,v_proj,sciq,0.012562118470668793
olora_standard,26,q_proj,gsm8k,0.0042502074502408504
olora_standard,26,q_proj,sst2,0.032050855457782745
olora_standard,26,q_proj,mbpp,0.006222392898052931
olora_standard,26,q_proj,xsum,0.005350114777684212
olora_standard,26,q_proj,sciq,0.010159109719097614
olora_standard,26,v_proj,gsm8k,0.006657434161752462
olora_standard,26,v_proj,sst2,0.03670496121048927
olora_standard,26,v_proj,mbpp,0.008474080823361874
olora_standard,26,v_proj,xsum,0.006636286154389381
olora_standard,26,v_proj,sciq,0.013588493689894676
olora_standard,27,q_proj,gsm8k,0.003344294847920537
olora_standard,27,q_proj,sst2,0.05711965262889862
olora_standard,27,q_proj,mbpp,0.006617899984121323
olora_standard,27,q_proj,xsum,0.003871575463563204
olora_standard,27,q_proj,sciq,0.014525515027344227
olora_standard,27,v_proj,gsm8k,0.005307917948812246
olora_standard,27,v_proj,sst2,0.022687530145049095
olora_standard,27,v_proj,mbpp,0.006081764120608568
olora_standard,27,v_proj,xsum,0.00408290745690465
olora_standard,27,v_proj,sciq,0.00960213877260685
