method,layer_idx,proj,task,overlap
olora_safety,7,q_proj,mbpp,0.012352009303867817
olora_safety,7,v_proj,gsm8k,0.020153284072875977
olora_safety,7,v_proj,sst2,0.02789459191262722
olora_safety,7,v_proj,mbpp,0.020196352154016495
olora_safety,8,q_proj,gsm8k,0.009875044226646423
olora_safety,8,q_proj,sst2,0.03752222657203674
olora_safety,8,q_proj,mbpp,0.011589797213673592
olora_safety,8,v_proj,gsm8k,0.024537421762943268
olora_safety,8,v_proj,sst2,0.03191595524549484
olora_safety,8,v_proj,mbpp,0.025069721043109894
olora_safety,9,q_proj,gsm8k,0.011303858831524849
olora_safety,9,q_proj,sst2,0.038195740431547165
olora_safety,9,q_proj,mbpp,0.014222868718206882
olora_safety,9,v_proj,gsm8k,0.025940394029021263
olora_safety,9,v_proj,sst2,0.0306742824614048
olora_safety,9,v_proj,mbpp,0.026013391092419624
olora_safety,10,q_proj,gsm8k,0.008361034095287323
olora_safety,10,q_proj,sst2,0.04511209949851036
olora_safety,10,q_proj,mbpp,0.010631101205945015
olora_safety,10,v_proj,gsm8k,0.022571802139282227
olora_safety,10,v_proj,sst2,0.02911793626844883
olora_safety,10,v_proj,mbpp,0.023050107061862946
olora_safety,11,q_proj,gsm8k,0.008808139711618423
olora_safety,11,q_proj,sst2,0.029817234724760056
olora_safety,11,q_proj,mbpp,0.009895037859678268
olora_safety,11,v_proj,gsm8k,0.020621301606297493
olora_safety,11,v_proj,sst2,0.030911244451999664
olora_safety,11,v_proj,mbpp,0.020429102703928947
olora_safety,12,q_proj,gsm8k,0.010330665856599808
olora_safety,12,q_proj,sst2,0.039721086621284485
olora_safety,12,q_proj,mbpp,0.013186017982661724
olora_safety,12,v_proj,gsm8k,0.018091214820742607
olora_safety,12,v_proj,sst2,0.022680414840579033
olora_safety,12,v_proj,mbpp,0.019025331363081932
olora_safety,13,q_proj,gsm8k,0.0074788290075957775
olora_safety,13,q_proj,sst2,0.03955283761024475
olora_safety,13,q_proj,mbpp,0.008587999269366264
olora_safety,13,v_proj,gsm8k,0.017240850254893303
olora_safety,13,v_proj,sst2,0.02011922001838684
olora_safety,13,v_proj,mbpp,0.01712106540799141
olora_safety,14,q_proj,gsm8k,0.009675376117229462
olora_safety,14,q_proj,sst2,0.033001165837049484
olora_safety,14,q_proj,mbpp,0.01133003830909729
olora_safety,14,v_proj,gsm8k,0.017467699944972992
olora_safety,14,v_proj,sst2,0.028100593015551567
olora_safety,14,v_proj,mbpp,0.01791355572640896
olora_safety,15,q_proj,gsm8k,0.011650488711893559
olora_safety,15,q_proj,sst2,0.03349989280104637
olora_safety,15,q_proj,mbpp,0.014008628204464912
olora_safety,15,v_proj,gsm8k,0.017860405147075653
olora_safety,15,v_proj,sst2,0.027530618011951447
olora_safety,15,v_proj,mbpp,0.017692189663648605
olora_safety,16,q_proj,gsm8k,0.00898655690252781
olora_safety,16,q_proj,sst2,0.035674549639225006
olora_safety,16,q_proj,mbpp,0.010496225208044052
olora_safety,16,v_proj,gsm8k,0.018227506428956985
